"","subj","Ordem","Num","item","answer","quest_rt","idade","genero","escolaridade","idioma"
"1","1","todo-um","PL","12","2",9433,36,"masculino","Sup. Completo","sim"
"2","1","um-todo","PL","2","5",18145,36,"masculino","Sup. Completo","sim"
"3","1","um-todo","SG","9","5",9728,36,"masculino","Sup. Completo","sim"
"4","1","um-todo","SG","5","5",15724,36,"masculino","Sup. Completo","sim"
"5","1","um-todo","PL","6","2",21496,36,"masculino","Sup. Completo","sim"
"6","1","todo-um","PL","8","4",12560,36,"masculino","Sup. Completo","sim"
"7","1","um-todo","PL","10","5",11975,36,"masculino","Sup. Completo","sim"
"8","1","um-todo","SG","1","5",10121,36,"masculino","Sup. Completo","sim"
"9","1","todo-um","PL","4","4",11343,36,"masculino","Sup. Completo","sim"
"10","1","todo-um","SG","7","5",7706,36,"masculino","Sup. Completo","sim"
"11","1","todo-um","SG","3","5",9863,36,"masculino","Sup. Completo","sim"
"12","2","todo-um","PL","2","1",8510,19,"masculino","Medio Completo","sim"
"13","2","um-todo","SG","7","5",14875,19,"masculino","Medio Completo","sim"
"14","2","um-todo","PL","8","5",9060,19,"masculino","Medio Completo","sim"
"15","2","todo-um","SG","5","5",10832,19,"masculino","Medio Completo","sim"
"16","2","todo-um","PL","6","1",12474,19,"masculino","Medio Completo","sim"
"17","2","todo-um","SG","1","5",8962,19,"masculino","Medio Completo","sim"
"18","2","um-todo","PL","4","1",7731,19,"masculino","Medio Completo","sim"
"19","2","um-todo","PL","12","5",10805,19,"masculino","Medio Completo","sim"
"20","2","um-todo","SG","3","5",6073,19,"masculino","Medio Completo","sim"
"21","2","todo-um","PL","10","1",10037,19,"masculino","Medio Completo","sim"
"22","2","todo-um","SG","9","5",5183,19,"masculino","Medio Completo","sim"
"23","3","todo-um","SG","10","5",11230,27,"feminino","Mest. Incompleto","sim"
"24","3","todo-um","PL","7","1",11164,27,"feminino","Mest. Incompleto","sim"
"25","3","um-todo","PL","5","3",19098,27,"feminino","Mest. Incompleto","sim"
"26","3","um-todo","SG","8","3",7745,27,"feminino","Mest. Incompleto","sim"
"27","3","todo-um","SG","6","4",12866,27,"feminino","Mest. Incompleto","sim"
"28","3","um-todo","SG","12","3",8507,27,"feminino","Mest. Incompleto","sim"
"29","3","todo-um","PL","3","1",9712,27,"feminino","Mest. Incompleto","sim"
"30","3","um-todo","SG","4","3",11869,27,"feminino","Mest. Incompleto","sim"
"31","3","um-todo","PL","1","4",34766,27,"feminino","Mest. Incompleto","sim"
"32","3","todo-um","SG","2","5",8056,27,"feminino","Mest. Incompleto","sim"
"33","3","um-todo","PL","9","5",7466,27,"feminino","Mest. Incompleto","sim"
"34","4","um-todo","PL","9","1",9502,25,"masculino","Sup. Completo","sim"
"35","4","todo-um","SG","6","1",13620,25,"masculino","Sup. Completo","sim"
"36","4","um-todo","PL","1","4",15104,25,"masculino","Sup. Completo","sim"
"37","4","um-todo","SG","4","3",8897,25,"masculino","Sup. Completo","sim"
"38","4","todo-um","SG","10","5",17021,25,"masculino","Sup. Completo","sim"
"39","4","todo-um","PL","7","5",13485,25,"masculino","Sup. Completo","sim"
"40","4","um-todo","SG","8","4",9638,25,"masculino","Sup. Completo","sim"
"41","4","um-todo","SG","12","4",5479,25,"masculino","Sup. Completo","sim"
"42","4","todo-um","PL","3","5",9287,25,"masculino","Sup. Completo","sim"
"43","4","um-todo","PL","5","4",3687,25,"masculino","Sup. Completo","sim"
"44","4","todo-um","SG","2","5",5071,25,"masculino","Sup. Completo","sim"
"45","5","um-todo","SG","5","5",15081,23,"masculino","Sup. Incompleto","sim"
"46","5","todo-um","PL","8","1",25838,23,"masculino","Sup. Incompleto","sim"
"47","5","um-todo","SG","9","5",13099,23,"masculino","Sup. Incompleto","sim"
"48","5","todo-um","SG","3","4",18316,23,"masculino","Sup. Incompleto","sim"
"49","5","um-todo","PL","6","3",17292,23,"masculino","Sup. Incompleto","sim"
"50","5","todo-um","SG","7","2",14719,23,"masculino","Sup. Incompleto","sim"
"51","5","um-todo","PL","2","4",5309,23,"masculino","Sup. Incompleto","sim"
"52","5","um-todo","PL","10","5",7452,23,"masculino","Sup. Incompleto","sim"
"53","5","todo-um","PL","12","4",6185,23,"masculino","Sup. Incompleto","sim"
"54","5","todo-um","PL","4","1",7511,23,"masculino","Sup. Incompleto","sim"
"55","5","um-todo","SG","1","5",9309,23,"masculino","Sup. Incompleto","sim"
"56","6","um-todo","SG","7","5",9696,33,"feminino","Sup. Completo","sim"
"57","6","um-todo","SG","3","5",8786,33,"feminino","Sup. Completo","sim"
"58","6","um-todo","PL","12","5",13443,33,"feminino","Sup. Completo","sim"
"59","6","todo-um","PL","6","2",11297,33,"feminino","Sup. Completo","sim"
"60","6","um-todo","PL","8","4",8321,33,"feminino","Sup. Completo","sim"
"61","6","todo-um","PL","2","2",14392,33,"feminino","Sup. Completo","sim"
"62","6","todo-um","PL","10","2",6566,33,"feminino","Sup. Completo","sim"
"63","6","todo-um","SG","9","4",8037,33,"feminino","Sup. Completo","sim"
"64","6","todo-um","SG","1","2",26714,33,"feminino","Sup. Completo","sim"
"65","6","todo-um","SG","5","4",5770,33,"feminino","Sup. Completo","sim"
"66","6","um-todo","PL","4","2",6014,33,"feminino","Sup. Completo","sim"
"67","7","todo-um","SG","3","1",13347,23,"feminino","Sup. Completo","sim"
"68","7","um-todo","SG","9","1",4620,23,"feminino","Sup. Completo","sim"
"69","7","um-todo","PL","2","1",9901,23,"feminino","Sup. Completo","sim"
"70","7","todo-um","SG","7","1",10932,23,"feminino","Sup. Completo","sim"
"71","7","todo-um","PL","4","1",7631,23,"feminino","Sup. Completo","sim"
"72","7","todo-um","PL","8","1",6983,23,"feminino","Sup. Completo","sim"
"73","7","um-todo","SG","1","5",6721,23,"feminino","Sup. Completo","sim"
"74","7","todo-um","PL","12","1",5596,23,"feminino","Sup. Completo","sim"
"75","7","um-todo","SG","5","5",3703,23,"feminino","Sup. Completo","sim"
"76","7","um-todo","PL","10","5",6381,23,"feminino","Sup. Completo","sim"
"77","7","um-todo","PL","6","4",8464,23,"feminino","Sup. Completo","sim"
"78","8","todo-um","PL","2","2",11535,33,"masculino","Dout. Incompleto","sim"
"79","8","todo-um","SG","1","5",11988,33,"masculino","Dout. Incompleto","sim"
"80","8","um-todo","PL","8","2",6902,33,"masculino","Dout. Incompleto","sim"
"81","8","todo-um","SG","5","5",10145,33,"masculino","Dout. Incompleto","sim"
